fuzzer,target,branch_id,n_resolved,n_blocked,n_reached,n_trials
aflplusplus,curl,2110,3,5,8,10
aflplusplus,curl,2111,7,1,8,10
aflplusplus,curl,1240,4,4,8,10
aflplusplus,curl,2113,7,1,8,10
aflplusplus,curl,3632,3,3,6,10
aflplusplus,curl,1250,5,1,6,10
aflplusplus,curl,4052,6,0,6,10
aflplusplus,curl,3638,2,5,7,10
aflplusplus,curl,259,6,1,7,10
aflplusplus,curl,258,7,0,7,10
aflplusplus,curl,3641,2,3,5,10
aflplusplus,curl,1272,5,0,5,10
aflplusplus,curl,3642,5,0,5,10
aflplusplus,curl,260,9,1,10,10
aflplusplus,curl,261,9,1,10,10
aflplusplus,curl,262,9,1,10,10
aflplusplus,curl,3320,10,0,10,10
aflplusplus,curl,263,8,2,10,10
aflplusplus,curl,264,8,2,10,10
aflplusplus,curl,266,6,4,10,10
aflplusplus,curl,702,10,0,10,10
aflplusplus,curl,2774,10,0,10,10
aflplusplus,curl,2775,10,0,10,10
aflplusplus,curl,1279,10,0,10,10
aflplusplus,curl,2777,10,0,10,10
aflplusplus,curl,267,9,1,10,10
aflplusplus,curl,268,10,0,10,10
aflplusplus,curl,2778,10,0,10,10
aflplusplus,curl,705,10,0,10,10
aflplusplus,curl,269,2,8,10,10
aflplusplus,curl,270,2,8,10,10
aflplusplus,curl,271,2,8,10,10
aflplusplus,curl,1285,2,8,10,10
aflplusplus,curl,272,6,4,10,10
aflplusplus,curl,273,4,6,10,10
aflplusplus,curl,274,5,5,10,10
aflplusplus,curl,275,6,4,10,10
aflplusplus,curl,276,6,4,10,10
aflplusplus,curl,277,6,4,10,10
aflplusplus,curl,1290,3,7,10,10
aflplusplus,curl,279,6,4,10,10
aflplusplus,curl,280,4,6,10,10
aflplusplus,curl,281,6,4,10,10
aflplusplus,curl,282,4,6,10,10
aflplusplus,curl,283,6,4,10,10
aflplusplus,curl,284,4,6,10,10
aflplusplus,curl,285,4,6,10,10
aflplusplus,curl,286,6,4,10,10
aflplusplus,curl,287,4,6,10,10
aflplusplus,curl,288,4,6,10,10
aflplusplus,curl,289,7,3,10,10
aflplusplus,curl,290,7,3,10,10
aflplusplus,curl,291,7,3,10,10
aflplusplus,curl,292,7,3,10,10
aflplusplus,curl,293,4,6,10,10
aflplusplus,curl,294,5,5,10,10
aflplusplus,curl,1306,6,4,10,10
aflplusplus,curl,295,9,1,10,10
aflplusplus,curl,296,5,5,10,10
aflplusplus,curl,297,10,0,10,10
aflplusplus,curl,298,10,0,10,10
aflplusplus,curl,720,10,0,10,10
aflplusplus,curl,299,8,2,10,10
aflplusplus,curl,300,5,5,10,10
aflplusplus,curl,301,7,3,10,10
aflplusplus,curl,302,7,3,10,10
aflplusplus,curl,303,7,3,10,10
aflplusplus,curl,304,7,3,10,10
aflplusplus,curl,305,10,0,10,10
aflplusplus,curl,1318,9,1,10,10
aflplusplus,curl,306,10,0,10,10
aflplusplus,curl,307,10,0,10,10
aflplusplus,curl,308,7,3,10,10
aflplusplus,curl,3345,10,0,10,10
aflplusplus,curl,309,8,2,10,10
aflplusplus,curl,310,8,2,10,10
aflplusplus,curl,311,8,2,10,10
aflplusplus,curl,312,9,1,10,10
aflplusplus,curl,313,9,1,10,10
aflplusplus,curl,314,9,1,10,10
aflplusplus,curl,315,8,2,10,10
aflplusplus,curl,316,7,3,10,10
aflplusplus,curl,317,8,2,10,10
aflplusplus,curl,318,8,2,10,10
aflplusplus,curl,3348,10,0,10,10
aflplusplus,curl,4814,8,2,10,10
aflplusplus,curl,319,8,2,10,10
aflplusplus,curl,320,8,2,10,10
aflplusplus,curl,321,8,2,10,10
aflplusplus,curl,3349,10,0,10,10
aflplusplus,curl,3350,10,0,10,10
aflplusplus,curl,322,10,0,10,10
aflplusplus,curl,323,10,0,10,10
aflplusplus,curl,324,10,0,10,10
aflplusplus,curl,325,10,0,10,10
aflplusplus,curl,740,8,1,9,10
aflplusplus,curl,739,7,2,9,10
aflplusplus,curl,2205,3,4,7,10
aflplusplus,curl,2204,4,3,7,10
aflplusplus,curl,326,8,2,10,10
aflplusplus,curl,327,10,0,10,10
aflplusplus,curl,328,10,0,10,10
aflplusplus,curl,329,10,0,10,10
aflplusplus,curl,1344,10,0,10,10
aflplusplus,curl,330,9,1,10,10
aflplusplus,curl,331,9,1,10,10
aflplusplus,curl,332,8,2,10,10
aflplusplus,curl,1348,10,0,10,10
aflplusplus,curl,333,9,1,10,10
aflplusplus,curl,1349,10,0,10,10
aflplusplus,curl,4833,0,10,10,10
aflplusplus,curl,334,10,0,10,10
aflplusplus,curl,1353,10,0,10,10
aflplusplus,curl,335,9,1,10,10
aflplusplus,curl,337,9,1,10,10
aflplusplus,curl,336,10,0,10,10
aflplusplus,curl,338,10,0,10,10
aflplusplus,curl,1358,5,5,10,10
aflplusplus,curl,1357,10,0,10,10
aflplusplus,curl,4842,2,8,10,10
aflplusplus,curl,339,5,5,10,10
aflplusplus,curl,1360,10,0,10,10
aflplusplus,curl,340,5,5,10,10
aflplusplus,curl,341,5,5,10,10
aflplusplus,curl,342,10,0,10,10
aflplusplus,curl,343,10,0,10,10
aflplusplus,curl,1366,10,0,10,10
aflplusplus,curl,344,6,4,10,10
aflplusplus,curl,345,3,7,10,10
aflplusplus,curl,346,10,0,10,10
aflplusplus,curl,4852,1,9,10,10
aflplusplus,curl,347,1,9,10,10
aflplusplus,curl,348,2,8,10,10
aflplusplus,curl,350,10,0,10,10
aflplusplus,curl,349,9,1,10,10
aflplusplus,curl,352,10,0,10,10
aflplusplus,curl,351,9,1,10,10
aflplusplus,curl,1375,10,0,10,10
aflplusplus,curl,1376,10,0,10,10
aflplusplus,curl,353,10,0,10,10
