target,fuzzer,trial,n_checkpoints,t_first_s,t_last_s,branch_total,auc_branch_seconds,auc_normalized,final_branches
lcms,naive_ngram4,5,18,3600,64800,7526,76908600.0,0.166978,1257
lcms,naive_ngram4,6,23,3600,82800,7526,99322200.0,0.166631,1257
lcms,naive_ngram4,7,16,3600,57600,7526,67716000.0,0.166622,1254
lcms,naive_ngram4,8,16,3600,57600,7526,67638600.0,0.166432,1254
lcms,naive_ngram4,9,19,3600,68400,7526,81408600.0,0.166929,1258
lcms,naive_ngram4,10,10,3600,36000,7526,40656600.0,0.166733,1256
lcms,mopt,1,23,3600,82800,7526,99610200.0,0.167115,1259
lcms,mopt,2,21,3600,75600,7526,90829800.0,0.167622,1266
lcms,mopt,3,21,3600,75600,7526,90414000.0,0.166855,1258
lcms,mopt,4,24,3600,86400,7526,104052600.0,0.166978,1261
lcms,mopt,5,23,3600,82800,7526,99275400.0,0.166553,1254
lcms,mopt,6,21,3600,75600,7526,90437400.0,0.166898,1257
lcms,mopt,7,22,3600,79200,7526,95167800.0,0.167265,1260
lcms,mopt,8,23,3600,82800,7526,99743400.0,0.167338,1262
lcms,mopt,9,24,3600,86400,7526,104142600.0,0.167122,1262
lcms,mopt,10,24,3600,86400,7526,104398200.0,0.167532,1262
lcms,minimizer,1,21,3600,75600,7526,90419400.0,0.166865,1257
lcms,minimizer,2,20,3600,72000,7526,85986000.0,0.167035,1259
lcms,minimizer,3,14,3600,50400,7526,58739400.0,0.166771,1256
lcms,minimizer,4,18,3600,64800,7526,76797000.0,0.166736,1255
lcms,minimizer,5,24,3600,86400,7526,103993200.0,0.166882,1256
lcms,minimizer,6,20,3600,72000,7526,86049000.0,0.167157,1260
lcms,minimizer,7,23,3600,82800,7526,99723600.0,0.167305,1260
lcms,minimizer,8,24,3600,86400,7526,104319000.0,0.167405,1262
lcms,minimizer,9,17,3600,61200,7526,72288000.0,0.166755,1255
lcms,minimizer,10,20,3600,72000,7526,85813200.0,0.166699,1255
lcms,fast,1,11,3600,39600,7526,45381600.0,0.167499,1262
lcms,fast,2,16,3600,57600,7526,68011200.0,0.167349,1264
lcms,fast,3,20,3600,72000,7526,86047200.0,0.167154,1258
lcms,fast,4,17,3600,61200,7526,72419400.0,0.167058,1261
lcms,fast,5,22,3600,79200,7526,94786200.0,0.166594,1254
lcms,fast,6,18,3600,64800,7526,76746600.0,0.166626,1256
lcms,fast,7,13,3600,46800,7526,54252000.0,0.166866,1256
lcms,fast,8,22,3600,79200,7526,95023800.0,0.167012,1257
lcms,fast,9,21,3600,75600,7526,90511200.0,0.167034,1262
lcms,fast,10,24,3600,86400,7526,104072400.0,0.167009,1257
lcms,grimoire,1,24,3600,86400,7526,120627000.0,0.193575,1513
lcms,grimoire,2,24,3600,86400,7526,153786600.0,0.246788,1929
lcms,grimoire,3,24,3600,86400,7526,113909400.0,0.182795,1389
