target,branch_id,file,function,line,col,side,source_line,n_decisive_pairs,decisive_pairs,involved_fuzzers,naive_resolved,naive_blocked,naive_unreached,cmplog_resolved,cmplog_blocked,cmplog_unreached,value_profile_resolved,value_profile_blocked,value_profile_unreached,value_profile_cmplog_resolved,value_profile_cmplog_blocked,value_profile_cmplog_unreached,naive_ctx_resolved,naive_ctx_blocked,naive_ctx_unreached,naive_ngram4_resolved,naive_ngram4_blocked,naive_ngram4_unreached,mopt_resolved,mopt_blocked,mopt_unreached,minimizer_resolved,minimizer_blocked,minimizer_unreached,fast_resolved,fast_blocked,fast_unreached,grimoire_resolved,grimoire_blocked,grimoire_unreached,max_prob_div,max_dur_div,max_hit_div
harfbuzz,5931,/src/harfbuzz/src/hb-ot-shaper-myanmar-machine.hh,find_syllables_myanmar(hb_buffer_t*),502,2,T,	case 8:,1,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""B>A"",""winner"":""naive"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":17.6,""hit_div"":37.5}]","[""cmplog"", ""naive""]",10,0,0,2,8,0,10,0,0,4,6,0,,,,,,,,,,,,,,,,3,7,0,0.8,17.6,37.5
harfbuzz,5951,/src/harfbuzz/src/hb-ot-shaper-syllabic.cc,"hb_syllabic_insert_dotted_circles(hb_font_t*, hb_buffer_t*, unsigned int, unsigned int, int, int)",46,7,F,"  if (!font->get_nominal_glyph (0x25CCu, &dottedcircle_glyph))",1,"[{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":9.2,""hit_div"":5.7}]","[""value_profile"", ""value_profile_cmplog""]",0,10,0,3,7,0,0,10,0,8,2,0,,,,,,,,,,,,,,,,7,3,0,0.8,9.2,5.7
harfbuzz,5952,/src/harfbuzz/src/hb-ot-shaper-thai.cc,hb-ot-shaper-thai.cc:get_consonant_type(unsigned int),53,7,T,  if (u == 0x0E1Bu || u == 0x0E1Du || u == 0x0E1Fu/* || u == 0x0E2Cu*/),1,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""B>A"",""winner"":""naive"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":16.1,""hit_div"":33.2}]","[""cmplog"", ""naive""]",10,0,0,2,8,0,10,0,0,4,6,0,,,,,,,,,,,,,,,,6,4,0,0.8,16.1,33.2
harfbuzz,5953,/src/harfbuzz/src/hb-ot-shaper-thai.cc,hb-ot-shaper-thai.cc:get_consonant_type(unsigned int),53,23,T,  if (u == 0x0E1Bu || u == 0x0E1Du || u == 0x0E1Fu/* || u == 0x0E2Cu*/),1,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""B>A"",""winner"":""naive"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":18.0,""hit_div"":42.0}]","[""cmplog"", ""naive""]",10,0,0,2,8,0,10,0,0,4,6,0,,,,,,,,,,,,,,,,6,4,0,0.8,18.0,42.0
harfbuzz,5967,/src/harfbuzz/src/hb-ot-shaper-thai.cc,"hb-ot-shaper-thai.cc:thai_pua_shape(unsigned int, thai_action_t, hb_font_t*)",148,5,T,    case SDL: pua_mappings = SDL_mappings; break;,1,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""B>A"",""winner"":""naive"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":13.5,""hit_div"":23.6}]","[""cmplog"", ""naive""]",10,0,0,2,8,0,10,0,0,5,5,0,,,,9,1,0,9,1,0,,,,,,,0,10,0,0.8,13.5,23.6
harfbuzz,5990,/src/harfbuzz/src/hb-ot-shaper-use.cc,hb-ot-shaper-use.cc:is_halant_use(hb_glyph_info_t const&),357,44,T,  return (info.use_category() == USE(H) || info.use_category() == USE(HVM) || info.use_category() == USE(IS)) &&,1,"[{""A"":""naive_ctx"",""B"":""naive"",""delta"":""ctx_coverage"",""direction"":""A>B"",""winner"":""naive_ctx"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":17.1,""hit_div"":75.5}]","[""naive"", ""naive_ctx""]",2,8,0,0,10,0,4,6,0,5,5,0,10,0,0,5,5,0,7,3,0,2,8,0,4,6,0,1,9,0,0.8,17.1,75.5
harfbuzz,6025,/src/harfbuzz/src/hb-ot-shaper-vowel-constraints.cc,"_hb_preprocess_text_vowel_constraints(hb_ot_shape_plan_t const*, hb_buffer_t*, hb_font_t*)",94,4,T,	  case 0x0930u:,1,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":16.6,""hit_div"":1.9}]","[""cmplog"", ""value_profile_cmplog""]",4,6,0,2,8,0,8,2,0,10,0,0,10,0,0,5,5,0,4,6,0,10,0,0,7,3,0,6,4,0,0.8,16.6,1.9
harfbuzz,6037,/src/harfbuzz/src/hb-ot-shaper-vowel-constraints.cc,"_hb_preprocess_text_vowel_constraints(hb_ot_shape_plan_t const*, hb_buffer_t*, hb_font_t*)",144,4,T,	  case 0x0A72u:,1,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":16.4,""hit_div"":3.1}]","[""cmplog"", ""value_profile_cmplog""]",7,3,0,2,8,0,10,0,0,10,0,0,10,0,0,7,3,0,7,3,0,9,1,0,5,5,0,2,8,0,0.8,16.4,3.1
harfbuzz,6079,/src/harfbuzz/src/hb-ot-shaper-vowel-constraints.cc,"_hb_preprocess_text_vowel_constraints(hb_ot_shape_plan_t const*, hb_buffer_t*, hb_font_t*)",251,18,T,	  case 0x0C89u: case 0x0C8Bu:,1,"[{""A"":""naive_ctx"",""B"":""naive"",""delta"":""ctx_coverage"",""direction"":""A>B"",""winner"":""naive_ctx"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":17.7,""hit_div"":31.8}]","[""naive"", ""naive_ctx""]",2,8,0,1,8,1,3,7,0,4,6,0,10,0,0,2,8,0,2,8,0,2,8,0,5,5,0,3,7,0,0.8,17.7,31.8
harfbuzz,6094,/src/harfbuzz/src/hb-ot-shaper-vowel-constraints.cc,"_hb_preprocess_text_vowel_constraints(hb_ot_shape_plan_t const*, hb_buffer_t*, hb_font_t*)",303,32,T,	  case 0x0D8Bu: case 0x0D8Fu: case 0x0D94u:,1,"[{""A"":""naive_ctx"",""B"":""naive"",""delta"":""ctx_coverage"",""direction"":""A>B"",""winner"":""naive_ctx"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":12.1,""hit_div"":82.8}]","[""naive"", ""naive_ctx""]",2,8,0,0,6,4,3,7,0,3,7,0,10,0,0,1,9,0,0,9,1,3,7,0,2,6,2,3,4,3,0.8,12.1,82.8
harfbuzz,6095,/src/harfbuzz/src/hb-ot-shaper-vowel-constraints.cc,"_hb_preprocess_text_vowel_constraints(hb_ot_shape_plan_t const*, hb_buffer_t*, hb_font_t*)",306,4,T,	  case 0x0D8Du:,1,"[{""A"":""naive_ctx"",""B"":""naive"",""delta"":""ctx_coverage"",""direction"":""A>B"",""winner"":""naive_ctx"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":8.0,""hit_div"":66.0}]","[""naive"", ""naive_ctx""]",2,8,0,0,6,4,4,6,0,7,3,0,10,0,0,2,8,0,1,8,1,1,9,0,0,8,2,1,6,3,0.8,8.0,66.0
harfbuzz,6099,/src/harfbuzz/src/hb-ot-shaper-vowel-constraints.cc,"_hb_preprocess_text_vowel_constraints(hb_ot_shape_plan_t const*, hb_buffer_t*, hb_font_t*)",336,4,T,	  case 0x1100Fu:,1,"[{""A"":""naive_ctx"",""B"":""naive"",""delta"":""ctx_coverage"",""direction"":""A>B"",""winner"":""naive_ctx"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":13.2,""hit_div"":45.7}]","[""naive"", ""naive_ctx""]",2,8,0,1,9,0,1,9,0,1,9,0,10,0,0,1,9,0,1,9,0,1,9,0,0,9,1,0,9,1,0.8,13.2,45.7
harfbuzz,6165,/src/harfbuzz/src/hb-ot-shaper.hh,hb-ot-shape-normalize.cc:hb_ot_shaper_categorize(hb_ot_shape_planner_t const*),305,5,T,    case HB_SCRIPT_LEPCHA:,1,"[{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""B>A"",""winner"":""value_profile"",""loser"":""value_profile_cmplog"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":11.5,""hit_div"":2.6}]","[""value_profile"", ""value_profile_cmplog""]",8,2,0,5,5,0,10,0,0,2,8,0,10,0,0,8,2,0,10,0,0,8,2,0,5,5,0,6,4,0,0.8,11.5,2.6
harfbuzz,6006,/src/harfbuzz/src/hb-ot-shaper-vowel-constraints.cc,"_hb_preprocess_text_vowel_constraints(hb_ot_shape_plan_t const*, hb_buffer_t*, hb_font_t*)",67,22,T,	      case 0x093Au: case 0x093Bu: case 0x093Eu: case 0x0945u:,1,"[{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":9,""loser_blocked"":8,""prob_div"":0.7889,""dur_div"":7.68,""hit_div"":2.1}]","[""naive"", ""value_profile""]",1,8,1,1,6,3,9,1,0,3,7,0,4,6,0,1,7,2,1,6,3,4,6,0,6,3,1,0,6,4,0.7889,7.68,2.1
harfbuzz,5334,/src/harfbuzz/src/hb-common.cc,hb_script_get_horizontal_direction,615,5,T,    case HB_SCRIPT_OLD_TURKIC:,1,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":9,""loser_blocked"":8,""prob_div"":0.7,""dur_div"":13.4,""hit_div"":15.2}]","[""cmplog"", ""naive""]",2,8,0,9,1,0,3,7,0,9,1,0,5,5,0,5,5,0,5,5,0,6,4,0,7,3,0,9,1,0,0.7,13.4,15.2
