target,fuzzer,trial,n_checkpoints,t_first_s,t_last_s,branch_total,auc_branch_seconds,auc_normalized,final_branches
harfbuzz,fast,10,24,3600,86400,17002,345276000.0,0.245265,4345
harfbuzz,grimoire,1,24,3600,86400,17002,471574800.0,0.334981,6038
harfbuzz,grimoire,2,24,3600,86400,17002,446464800.0,0.317144,5826
harfbuzz,grimoire,3,24,3600,86400,17002,387824400.0,0.275489,5188
harfbuzz,grimoire,4,24,3600,86400,17002,457502400.0,0.324985,5843
harfbuzz,grimoire,5,24,3600,86400,17002,435715200.0,0.309508,5645
harfbuzz,grimoire,6,24,3600,86400,17002,405187200.0,0.287823,5227
harfbuzz,grimoire,7,24,3600,86400,17002,424909800.0,0.301833,5709
harfbuzz,grimoire,8,24,3600,86400,17002,408745800.0,0.290351,5357
harfbuzz,grimoire,9,24,3600,86400,17002,429588000.0,0.305156,5661
harfbuzz,grimoire,10,24,3600,86400,17002,432271800.0,0.307062,5664
openthread,naive,1,24,3600,86400,26512,239090400.0,0.108915,2914
openthread,naive,2,24,3600,86400,26512,238210200.0,0.108514,2907
openthread,naive,3,24,3600,86400,26512,237645000.0,0.108257,2909
openthread,naive,4,24,3600,86400,26512,242515800.0,0.110476,3036
openthread,naive,5,24,3600,86400,26512,236818800.0,0.107881,2911
openthread,naive,6,24,3600,86400,26512,237983400.0,0.108411,2937
openthread,naive,7,24,3600,86400,26512,245707200.0,0.11193,3031
openthread,naive,8,24,3600,86400,26512,238942800.0,0.108848,2925
openthread,naive,9,24,3600,86400,26512,232342200.0,0.105841,2820
openthread,naive,10,24,3600,86400,26512,241853400.0,0.110174,2936
openthread,cmplog,1,24,3600,86400,26512,249508800.0,0.113661,3031
openthread,cmplog,2,24,3600,86400,26512,250371000.0,0.114054,3048
openthread,cmplog,3,24,3600,86400,26512,251870400.0,0.114737,3071
openthread,cmplog,4,24,3600,86400,26512,250138800.0,0.113948,3028
openthread,cmplog,5,24,3600,86400,26512,251127000.0,0.114399,3062
openthread,cmplog,6,24,3600,86400,26512,252939600.0,0.115224,3117
openthread,cmplog,7,24,3600,86400,26512,248612400.0,0.113253,3047
openthread,cmplog,8,24,3600,86400,26512,252631800.0,0.115084,3086
openthread,cmplog,9,24,3600,86400,26512,249507000.0,0.113661,3034
openthread,cmplog,10,24,3600,86400,26512,251494200.0,0.114566,3055
openthread,value_profile,1,24,3600,86400,26512,242128800.0,0.1103,3043
openthread,value_profile,2,24,3600,86400,26512,246648600.0,0.112358,3031
openthread,value_profile,3,24,3600,86400,26512,236232000.0,0.107613,2885
openthread,value_profile,4,24,3600,86400,26512,238107600.0,0.108468,2910
openthread,value_profile,5,24,3600,86400,26512,239778000.0,0.109229,2934
openthread,value_profile,6,24,3600,86400,26512,246155400.0,0.112134,3043
openthread,value_profile,7,24,3600,86400,26512,238917600.0,0.108837,2916
openthread,value_profile,8,24,3600,86400,26512,236712600.0,0.107832,2907
openthread,value_profile,9,24,3600,86400,26512,240514200.0,0.109564,3045
openthread,value_profile,10,24,3600,86400,26512,249568200.0,0.113688,3054
openthread,value_profile_cmplog,1,24,3600,86400,26512,247269600.0,0.112641,3032
openthread,value_profile_cmplog,2,24,3600,86400,26512,251875800.0,0.11474,3063
openthread,value_profile_cmplog,3,24,3600,86400,26512,249922800.0,0.11385,3031
openthread,value_profile_cmplog,4,24,3600,86400,26512,250209000.0,0.11398,3031
openthread,value_profile_cmplog,5,24,3600,86400,26512,248421600.0,0.113166,3056
openthread,value_profile_cmplog,6,24,3600,86400,26512,251132400.0,0.114401,3064
openthread,value_profile_cmplog,7,24,3600,86400,26512,249744600.0,0.113769,3028
openthread,value_profile_cmplog,8,24,3600,86400,26512,250246800.0,0.113998,3046
openthread,value_profile_cmplog,9,24,3600,86400,26512,248655600.0,0.113273,3037
openthread,value_profile_cmplog,10,24,3600,86400,26512,249346800.0,0.113588,3038
openthread,naive_ctx,1,24,3600,86400,26512,242089200.0,0.110281,3020
openthread,naive_ctx,2,24,3600,86400,26512,239353200.0,0.109035,2934
openthread,naive_ctx,3,24,3600,86400,26512,232968600.0,0.106127,2902
openthread,naive_ctx,4,24,3600,86400,26512,239216400.0,0.108973,2930
openthread,naive_ctx,5,24,3600,86400,26512,235200600.0,0.107143,2921
openthread,naive_ctx,6,24,3600,86400,26512,236878200.0,0.107908,2912
