target,branch_id,file,function,line,col,side,source_line,n_decisive_pairs,decisive_pairs,involved_fuzzers,naive_resolved,naive_blocked,naive_unreached,cmplog_resolved,cmplog_blocked,cmplog_unreached,value_profile_resolved,value_profile_blocked,value_profile_unreached,value_profile_cmplog_resolved,value_profile_cmplog_blocked,value_profile_cmplog_unreached,naive_ctx_resolved,naive_ctx_blocked,naive_ctx_unreached,naive_ngram4_resolved,naive_ngram4_blocked,naive_ngram4_unreached,mopt_resolved,mopt_blocked,mopt_unreached,minimizer_resolved,minimizer_blocked,minimizer_unreached,fast_resolved,fast_blocked,fast_unreached,grimoire_resolved,grimoire_blocked,grimoire_unreached,max_prob_div,max_dur_div,max_hit_div
libxml2,6939,/src/libxml2/tree.c,xmlAddChild,3421,9,T,    if ((parent == NULL) || (parent->type == XML_NAMESPACE_DECL)) {,1,"[{""A"":""naive_ngram4"",""B"":""naive"",""delta"":""ngram_coverage"",""direction"":""B>A"",""winner"":""naive"",""loser"":""naive_ngram4"",""winner_resolved"":9,""loser_blocked"":9,""prob_div"":0.8,""dur_div"":8.0,""hit_div"":58.9}]","[""naive"", ""naive_ngram4""]",9,1,0,9,1,0,9,1,0,10,0,0,6,4,0,1,9,0,4,6,0,9,1,0,7,3,0,5,5,0,0.8,8.0,58.9
libxml2,6985,/src/libxml2/uri.c,xmlSaveUri,1178,17,T,            if (uri->port > 0) {,1,"[{""A"":""grimoire"",""B"":""cmplog"",""delta"":""grimoire_structural"",""direction"":""A>B"",""winner"":""grimoire"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":13.6,""hit_div"":4.7}]","[""cmplog"", ""grimoire""]",7,3,0,2,8,0,8,2,0,4,6,0,1,9,0,5,5,0,4,6,0,9,1,0,9,1,0,10,0,0,0.8,13.6,4.7
libxml2,7018,/src/libxml2/uri.c,xmlBuildURI,1921,6,F,	if (*URI) {,1,"[{""A"":""grimoire"",""B"":""cmplog"",""delta"":""grimoire_structural"",""direction"":""A>B"",""winner"":""grimoire"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":20.9,""hit_div"":859.6}]","[""cmplog"", ""grimoire""]",5,5,0,2,8,0,7,3,0,6,4,0,6,4,0,1,9,0,3,7,0,5,5,0,0,10,0,10,0,0,0.8,20.9,859.6
libxml2,7019,/src/libxml2/uri.c,xmlBuildURI,1932,9,F,    if ((ref != NULL) && (ref->scheme != NULL)) {,1,"[{""A"":""grimoire"",""B"":""cmplog"",""delta"":""grimoire_structural"",""direction"":""A>B"",""winner"":""grimoire"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":20.9,""hit_div"":859.6}]","[""cmplog"", ""grimoire""]",5,5,0,2,8,0,7,3,0,6,4,0,6,4,0,1,9,0,3,7,0,5,5,0,0,10,0,10,0,0,0.8,20.9,859.6
libxml2,7021,/src/libxml2/uri.c,xmlBuildURI,1948,6,F,	if (ref),1,"[{""A"":""grimoire"",""B"":""cmplog"",""delta"":""grimoire_structural"",""direction"":""A>B"",""winner"":""grimoire"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":20.9,""hit_div"":609.3}]","[""cmplog"", ""grimoire""]",5,5,0,2,8,0,7,3,0,6,4,0,6,4,0,1,9,0,3,7,0,5,5,0,0,10,0,10,0,0,0.8,20.9,609.3
libxml2,7022,/src/libxml2/uri.c,xmlBuildURI,1952,9,T,    if (ref == NULL) {,1,"[{""A"":""grimoire"",""B"":""cmplog"",""delta"":""grimoire_structural"",""direction"":""A>B"",""winner"":""grimoire"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":20.8,""hit_div"":250.7}]","[""cmplog"", ""grimoire""]",5,5,0,2,8,0,6,4,0,6,4,0,6,4,0,0,10,0,2,8,0,5,5,0,0,10,0,10,0,0,0.8,20.8,250.7
libxml2,7040,/src/libxml2/uri.c,xmlBuildURI,2145,9,F,    if (ref != NULL),1,"[{""A"":""grimoire"",""B"":""cmplog"",""delta"":""grimoire_structural"",""direction"":""A>B"",""winner"":""grimoire"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":20.9,""hit_div"":859.6}]","[""cmplog"", ""grimoire""]",5,5,0,2,8,0,7,3,0,6,4,0,6,4,0,1,9,0,3,7,0,5,5,0,0,10,0,10,0,0,0.8,20.9,859.6
libxml2,7099,/src/libxml2/valid.c,xmlAddAttributeDecl,2143,7,T,"		   ((xmlStrEqual(tmp->name, BAD_CAST ""xmlns"")) ||",1,"[{""A"":""grimoire"",""B"":""cmplog"",""delta"":""grimoire_structural"",""direction"":""A>B"",""winner"":""grimoire"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":13.2,""hit_div"":74.0}]","[""cmplog"", ""grimoire""]",0,10,0,2,8,0,1,9,0,7,3,0,,,,,,,,,,0,10,0,1,8,1,10,0,0,0.8,13.2,74.0
libxml2,7101,/src/libxml2/valid.c,xmlAddAttributeDecl,2164,9,T,    if (dtd->last == NULL) {,1,"[{""A"":""grimoire"",""B"":""cmplog"",""delta"":""grimoire_structural"",""direction"":""A>B"",""winner"":""grimoire"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":19.4,""hit_div"":284.7}]","[""cmplog"", ""grimoire""]",0,10,0,2,8,0,2,8,0,3,7,0,2,8,0,,,,1,9,0,1,9,0,0,10,0,10,0,0,0.8,19.4,284.7
libxml2,7107,/src/libxml2/valid.c,valid.c:xmlGetDtdElementDesc2,3286,9,T,    if (dtd->elements == NULL) {,1,"[{""A"":""grimoire"",""B"":""cmplog"",""delta"":""grimoire_structural"",""direction"":""A>B"",""winner"":""grimoire"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":19.4,""hit_div"":285.0}]","[""cmplog"", ""grimoire""]",0,10,0,2,8,0,2,8,0,3,7,0,3,7,0,,,,1,9,0,1,9,0,0,10,0,10,0,0,0.8,19.4,285.0
